fecha,region,temperatura,precipitacion,indice_economico,competencia_promo
2022-01-01,Norte,25.9,0.0,105.5,False
2022-01-02,Norte,22.0,0.04,105.2,False
2022-01-03,Norte,27.5,0.0,106.0,False
2022-01-04,Norte,28.2,0.05,106.2,True
2022-01-05,Norte,19.7,0.02,106.0,False
2022-01-06,Norte,21.8,0.02,106.2,False
2022-01-07,Norte,26.2,0.05,106.7,False
2022-01-08,Norte,25.0,0.0,106.7,False
2022-01-09,Norte,26.0,0.13,107.3,False
2022-01-10,Norte,23.7,0.12,107.3,True
2022-01-11,Norte,29.0,0.11,107.9,False
2022-01-12,Norte,28.8,0.0,108.4,False
2022-01-13,Norte,26.8,0.14,108.6,False
2022-01-14,Norte,30.2,0.3,108.6,False
2022-01-15,Norte,28.3,0.03,108.9,False
2022-01-16,Norte,24.5,0.22,109.3,False
2022-01-17,Norte,28.3,0.0,110.5,True
2022-01-18,Norte,24.4,0.3,111.1,False
2022-01-19,Norte,30.1,0.01,111.8,False
2022-01-20,Norte,27.4,0.0,113.4,False
2022-01-21,Norte,27.1,0.06,113.7,True
2022-01-22,Norte,25.8,0.02,114.0,False
2022-01-23,Norte,31.6,0.0,114.4,False
2022-01-24,Norte,27.6,0.0,113.9,False
2022-01-25,Norte,26.9,0.03,113.7,False
2022-01-26,Norte,27.3,0.17,113.4,False
2022-01-27,Norte,30.1,0.01,113.7,False
2022-01-28,Norte,29.7,0.09,113.5,False
2022-01-29,Norte,29.9,0.17,113.4,False
2022-01-30,Norte,30.1,0.02,113.9,True
2022-01-31,Norte,35.4,0.03,114.1,True
2022-02-01,Norte,27.8,0.51,113.9,False
2022-02-02,Norte,27.6,0.12,113.4,False
2022-02-03,Norte,26.9,0.0,113.7,False
2022-02-04,Norte,31.3,0.19,113.9,False
2022-02-05,Norte,32.9,0.01,112.8,False
2022-02-06,Norte,29.3,0.15,112.4,True
2022-02-07,Norte,27.2,0.14,112.2,False
2022-02-08,Norte,27.4,0.05,112.3,False
2022-02-09,Norte,31.9,0.04,112.4,False
2022-02-10,Norte,32.3,0.08,112.3,False
2022-02-11,Norte,31.8,0.15,112.2,False
2022-02-12,Norte,28.3,0.0,111.9,False
2022-02-13,Norte,31.1,0.0,111.3,False
2022-02-14,Norte,30.8,0.02,110.8,False
2022-02-15,Norte,31.2,0.03,110.5,False
2022-02-16,Norte,33.3,0.14,110.1,False
2022-02-17,Norte,31.5,0.02,108.8,False
2022-02-18,Norte,32.9,0.0,108.3,False
2022-02-19,Norte,31.2,0.02,108.0,False
2022-02-20,Norte,31.9,0.04,107.5,False
2022-02-21,Norte,33.0,0.04,107.1,True
2022-02-22,Norte,26.9,0.0,107.0,False
2022-02-23,Norte,30.4,0.1,106.1,False
2022-02-24,Norte,30.0,0.06,105.0,True
2022-02-25,Norte,29.6,0.13,104.6,True
2022-02-26,Norte,30.7,0.07,104.7,True
2022-02-27,Norte,36.1,0.1,105.3,True
2022-02-28,Norte,29.1,0.0,105.4,False
2022-03-01,Norte,34.7,0.14,104.5,False
2022-03-02,Norte,26.8,0.03,104.2,False
2022-03-03,Norte,30.9,0.02,104.1,False
2022-03-04,Norte,32.5,0.28,104.0,False
2022-03-05,Norte,33.8,0.11,104.2,False
2022-03-06,Norte,34.3,0.18,103.6,False
2022-03-07,Norte,34.6,0.09,103.5,False
2022-03-08,Norte,31.2,0.09,103.7,True
2022-03-09,Norte,30.9,0.72,104.0,False
